"1,000 Venture Capital Firms",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,VC Firm,Website,Countries,Cities,Industries,Stages,Founded Year,Name of Founders,# of Investments,# of Exits,Min Check Size,Max Check Size,Funds Raised,Contact Information
,Algebra Ventures,https://www.algebraventures.com/,Egypt,Cairo,"Fintech, Education, Consumer, Marketplace",Early Stage,2016,"Karim Hussein, Tarek Assaad, Ziad Mokhtar",21,3,"$500,000","$3,000,000","$55,000,000",info@algebraventures.com
,Alitheia,http://thealitheia.com/,Nigeria,Lagos,"Fintech, SaaS, Supply Chain & Logistics, Climate & Sustainability, Education, Transportation, Energy",Early Stage,2007,"Jumoke Akinwunmi, Tokunboh Ishmael",11,1,,,,info@thealitheia.com
,Alkemi Growth Capital,https://alkemivp.com,India,New Delhi,"Health & Wellness, Healthcare",Early Stage,2018,Alka Goel,12,2,,,"$61,000,000",sayhello@alkemivp.com
,Allectus Capital,https://www.allectuscapital.limited/,,Hamilton,"Fintech, Health & Wellness, Deep Tech & Hard Science, AI & ML, Automation","Series A, Series B",2017,Duncan Saville,48,9,"$2,000,000","$10,000,000","$47,000,000",pitch@allectuscapital.limited
,AllegisCyber Capital,https://allegiscyber.com,USA,"Palo Alto, Fullerton, Lehi","Cybersecurity, Government Technology, Big Data & Analytics, IoT","Seed, Early Stage",1996,Robert R. Ackerman Jr.,164,65,"$3,000,000","$7,000,000","$468,700,000",+1 (650)-687-0500
,Allegro Capital,https://www.allegro-capital.com/,United Kingdom,London,"E-Commerce, Fintech, Crypto & Blockchain, Proptech & Real Estate, DTC","Seed, Pre-Seed",2011,Tom Montgomery,34,9,,,"£750,000,000",info@allegro-capital.com
,AlleyCorp,https://alleycorp.com/,USA,New York,Healthcare,"Pre-Seed, Seed",2007,"Dwight Merriman, Kevin Ryan",60,4,"$1,000,000","$3,000,000","$2,000,000,000",info@alleycorp.com
,Allianz X,https://allianzx.com,Germany,Munich,"Fintech, InsurTech, Healthcare, Big Data & Analytics, Proptech & Real Estate, Marketplace, SaaS","Early Stage, Late Stage",2013,Sub-Organization Of Allianz,29,3,,,"€1,000,000,000",allianzx@allianz.com
,Allied Venture Partners,https://allied.vc,"USA, Canada",Calgary,SaaS,"Seed, Series A",2020,Matthew Wilson,58,7,"$100,000","$350,000",,matt@allied.vc
,Allos Ventures,https://allosventures.com,USA,"Cincinnati, Indianapolis","Enterprise, SaaS",Early Stage,2009,"Don Aquilano, John Mcilwraith",92,9,,,"$182,500,000",
,ALLVP,https://allvp.com,Mexico,Mexico City,"Healthcare, Fintech, Consumer, SaaS, DTC, Education, Food & Beverage, Smart Cities","Series A, Early Stage",2012,"Federico Antoni, Antonia Rojas",27,6,"$1,000,000","$10,000,000","$115,000,000",aparatre@allvp.vc
,Alpaca Ventures,https://alpaca.vc/,USA,New York,"Proptech & Real Estate, DTC, Crypto & Blockchain, Consumer, Future of Work, Creator Economy, Fintech","Early Stage, Late Stage, Seed",2013,Ryan Freedman,93,26,"$500,000","$2,000,000","$100,000,000",hey@alpaca.vc
,Alpana Ventures,https://alpana-ventures.ch,Switzerland,Geneva,"Deep Tech & Hard Science, Fintech, Health & Wellness, Enterprise, Social, Cybersecurity, Transportation",Early Stage,2016,"Nathalie Chemtob, Pascal H. Widmer",68,14,,,"$3,000,000",info@alpana-ventures.ch
,Alpha JWC Ventures,https://alphajwc.com,"Indonesia, Singapore","Jakarta, Singapore","Consumer, Enterprise, Social, Fintech, Marketplace, AI & ML, SaaS, E-Commerce, DTC","Early Stage, Seed, Series A, Pre-Seed",2016,Chandra Tjan,57,5,"$100,000","$50,000,000","$650,000,000",info@alphajwc.com
,Alpha Venture Partners,https://alphapartners.com/,USA,New York,"Transportation, AI & ML, Future of Work, Education, Internet & Mobile, Enterprise, Marketplace, Robotics, Big Data & Analytics, Cloud","Early Stage, Growth",2012,"Brian Smiga, Steve Brotman",24,9,,,"$28,300,000",partners@alphapartners.com
,ALSA Ventures,https://alsaventures.com,United Kingdom,London,"Healthcare, Biotech, Health & Wellness, Life Sciences, Social",Other,2019,Alek Safarian,6,0,,"£5,000,000","£59,000,000",enquiries@alsaventures.com
,AltaIR Capital,https://altair.vc,USA,San Francisco,"Fintech, InsurTech, Productivity, SaaS, Future of Work, Healthcare, Cybersecurity, Media, DTC, Proptech & Real Estate",Seed,2005,Igor Ryabenkiy,76,14,"$1,000,000","$5,000,000","$600,000,000",start@altair.vc
,Altos Ventures,https://altos.vc,USA,San Francisco,"SaaS, Fintech, Consumer, E-Commerce","Seed, Series A, Series B",1996,"Han Kim, Ho Nam",270,39,"$250,000","$1,000,000","$711,800,000",info@altos.vc
,Alumni Ventures Group,https://www.av.vc/,USA,"Manchester, Boston, New York, Chicago, Austin, San Francisco","AI & ML, AR & VR, Consumer, Cybersecurity, Fintech, Food & Beverage, Healthcare, Industrial, IoT, Life Sciences, Proptech & Real Estate, SaaS, Climate & Sustainability, Transportation, Media, Manufacturing","Early Stage, Late Stage, Seed",2014,"Barrick Rothchild, Beth Obermiller, Luke Antal, Michael Madden, Santana Henry",1205,98,"$250,000","$1,000,000","$1,000,000,000",info@avgfunds.com
,Alven Capital Partners,https://alven.co/,"France, United Kingdom","Paris, London","AI & ML, SaaS, Marketplace, Productivity, Social, Entertainment, Developer Tools, Crypto & Blockchain, API, Internet & Mobile, Fintech, InsurTech","Seed, Series A, Early Stage",2000,Guillaume Aubin,136,69,"$100,000","$15,000,000","$500,000,000",contact@alven.com
,Amasia,https://amasia.vc,USA,San Mateo,"Climate & Sustainability, AI & ML, Healthcare, Education, Fintech, IoT, SaaS, E-Commerce, Supply Chain & Logistics, Agriculture","Seed, Series A, Series B",2013,"John Kim, Ramanan Raghavendran",83,8,,,"$838,000,000",info@amasia.vc
,AME Cloud Ventures,https://amecloudventures.com,USA,Palo Alto,"Government Technology, Internet & Mobile, AI & ML, Deep Tech & Hard Science, Infrastructure","Seed, Late Stage, Any",2012,Jerry Yang,351,110,,,"$1,500,000,000",
,Andreessen Horowitz,https://a16z.com,USA,"New York, San Francisco","Biotech, Healthcare, Crypto & Blockchain, Consumer, Enterprise, Fintech, Gaming","Early Stage, Late Stage",2009,"Marc Andreessen, Ben Horowitz",1256,191,"$500,000","$1,000,000","$32,400,000,000",businessplans@a16z.com
,AngelPad,https://angelpad.com,USA,San Francisco,"SaaS, Marketplace, API, Healthcare, AI & ML, Internet & Mobile, Enterprise, Consumer",Seed,2010,Carine Magescas,150,37,,"$120,000","$2,200,000,000",angelpad@angelpad.org
,Angivest Ventures,http://angivestventures.com/,Bahrain,Manama,"Fintech, Healthcare, Education, Food & Beverage, Marketplace, SaaS, Enterprise",Seed,2017,Fareed Bader,,,"$25,000","$100,000","$2,000,000",support@angivestventures.com
,Angular Ventures,https://angularventures.com/,"United Kingdom, Israel","London, Tel Aviv-Yafo","AI & ML, Cybersecurity, Automation, SaaS, Industrial, Aerospace & Space, Fintech, Developer Tools, Infrastructure","Early Stage, Seed, Pre-Seed",2018,Gil Dibner,37,1,"$200,000","$3,000,000","$80,000,000",info@angularventures.com
,Animo,https://animo.vc/,USA,Miami,"Healthcare, Marketplace, Consumer, Food & Beverage, Human Resources","Pre-Seed, Seed",2018,Nico Berardi,26,1,"$500,000","$2,500,000",,infor@amino.vc
,Ankona Capital,https://ankona.com,USA,Newport Beach,"Enterprise, SaaS",Late Stage,2019,"Brian Mesic, Jon Bauch",13,,"$5,000,000","$15,000,000","$66,000,000",info@ankonacap.com
,Antler,https://antler.co,"Singapore, Germany, Netherlands, Denmark, Portugal, United Kingdom, Spain, Norway, France, Sweden, Australia, India, Vietnam, Indonesia, South Korea, Japan, USA, Canada, Kenya","Berlin, Amsterdam, Copenhagen, Lisbon, London, Madrid, Oslo, Stockholm, Paris, Bangalore, Ho Chi Minh City, Jakarta, Seoul, Tokyo, Austin, Boulder, New York, São Paulo, Toronto, Nairobi, Sydney","AI & ML, Consumer, Crypto & Blockchain, Cybersecurity, E-Commerce, Fintech, SaaS, Gaming, Proptech & Real Estate, Internet & Mobile, Food & Beverage, Supply Chain & Logistics, Healthcare, Media","Pre-Seed, Seed, Early Stage",2017,"Magnus Grimeland,Fridtjof Berge, Dilan Mizrakli Landgraff, Vegard Medbo, Jussi Salovaara",365,3,,,"$82,200,000",hello@antler.co
,Anzu Partners,https://anzupartners.com,USA,"Tampa, Washington, Billerica, San Diego","Life Sciences, Industrial, Hardware, Manufacturing, SaaS","Early Stage, Growth, IPO",2014,"David Michael, David Seldin, Whitney Haring-Smith",64,12,,,"$448,400,000",info@anzupartners.com
,Apex Ventures,https://www.apex.ventures/,"Austria, Germany, USA","Vienna, Frankfurt, Los Angeles","AI & ML, Crypto & Blockchain, Cloud, IoT, AR & VR, Big Data & Analytics","Pre-Seed, Seed",2015,Andreas Riegler,,,"€100,000","€500,000",,office@apex.ventures
,APX,https://apx.vc/,Germany,Berlin,"AR & VR, Fintech, Education, Consumer, Big Data & Analytics, Media, Gaming, Transportation, Proptech & Real Estate, Manufacturing, Sports, Marketing, Human Resources, SaaS, Healthcare","Early Stage, Seed, Pre-Seed",2018,"Henric Hungerhoff, Joerg Rheinboldt",111,4,"€50,000","€500,000","€55,000,000",hello@apx.vc
,Aqua Spark,https://aqua-spark.nl,Netherlands,Utrecht,"Climate & Sustainability, Industrial","Early Stage, Series A",2013,Mike Velings,24,1,"€250,000","€5,000,000","€148,000,000",info@aqua-spark.nl
,Arbor Ventures,https://arborventures.com,Singapore,Singapore,"Fintech, Cybersecurity, InsurTech, AI & ML, Marketplace, Crypto & Blockchain","Early Stage, Seed",2013,"Melissa Guzy, Wei Hopeman",61,5,"$3,000,000","$6,000,000","$325,600,000",team@arborventures.com
,ARCH Ventures Partners,https://www.archventure.com/,"USA, Ireland","Chicago, Seattle, San Francisco, Dublin","Biotech, Healthcare, Education, Life Sciences","Early Stage, Seed",1986,"Clinton Bybee, Keith Crandell, Robert Nelsen, Steven Lazarus",419,98,"$50,000",,"$7,700,000,000",EUInquiries@ARCHVenture.com
,Archangel Ventures,https://archangel.vc,Australia,Melbourne,"Supply Chain & Logistics, Fintech, Food & Beverage, Marketplace, Health & Wellness, AI & ML, SaaS","Pre-Seed, Seed, Series A",2020,"Ben Armstrong, Quentin Wallace, Rayn Ong",25,1,,,,
,Arctern,https://www.arcternventures.com/,Canada,Toronto,"Climate & Sustainability, AI & ML, Biotech, Robotics, Transportation, Industrial, Manufacturing, Energy","Series A, Early Stage",2012,Murray Mccaig,26,1,"$5,000,000","$15,000,000","$200,000,000",info@arcternventures.com
,Armilar Venture Partners,https://www.armilar.com/en/,Portugal,Lisbon,"Deep Tech & Hard Science, Healthcare, Climate & Sustainability","Seed, Series A, Early Stage",1999,Joaquim Sérvulo Rodrigues,81,32,,,"€45,000,000",info@armilar.com
,Arsenal Growth,https://arsenalgrowth.com,USA,Winter Garden,"Supply Chain & Logistics, Enterprise, E-Commerce, Cloud, Healthcare",Late Stage,1999,John Trbovich,40,11,"$5,000,000","$8,000,000","$80,000,000",deal@arsenalgrowth.com
,Artesian,https://www.artesianinvest.com/,"Singapore, Australia, China, Indonesia, United Kingdom, USA","Sydney, Adelaide, London, New York, Jakarta, Melbourne, Shanghai, Singapore","Agriculture, AI & ML, Climate & Sustainability, IoT, Robotics, E-Commerce, Healthcare, Crypto & Blockchain, Hardware, Supply Chain & Logistics, Education, Fintech, Food & Beverage, Gaming, Entertainment, Human Resources, Marketing, Advertising, Social","Seed, Series A, Pre-Seed",2004,"Jeremy Colless, Matthew Clunies-Ross, John Mccartney",688,140,"$750,000","$1,500,000","$65,500,000",
,Arzan,https://arzan.com.kw/,"Kuwait, United Arab Emirates","Kuwait City, Dubai","E-Commerce, Internet & Mobile, SaaS","Early Stage, Seed, Pre-Seed, Series A",2013,"Hasan Zainal, Laith Zraikat",43,9,,"$6,000,000",,info@arzanvc.com
,Asabys Partners,https://asabys.com,Spain,Barcelona,"Healthcare, Life Sciences",Early Stage,2019,Josep Ll. Sanfeliu,17,1,,,"$55,000,000",info@asabys.com
,Ascendo Ventures,https://ascendovc.com,South Korea,Seoul,"Internet & Mobile, IoT, AI & ML, Robotics, Climate & Sustainability, Healthcare, Crypto & Blockchain, Food & Beverage","Seed, Series B, Series A",2018,Aaron Dongsuk Shin,30,1,,,"$33,000,000",info@ascendovc.com
,Ascension Ventures,https://www.ascension.vc/,United Kingdom,London,"Fintech, Consumer, Climate & Sustainability, Media, Future of Work, Healthcare, Deep Tech & Hard Science","Seed, Series A, Pre-Seed",2012,Jean De Fougerolles,139,9,"£200,000","£400,000","£25,000,000",
,Ascent Capital Advisors,https://ascentcapital.in/,India,"Bangalore, Mumbai","Marketplace, E-Commerce, Healthcare, API, Education, Food & Beverage, Fintech, InsurTech, IoT, DTC, AI & ML",Late Stage,2000,Raja Kumar,8,,"$10,000,000","$30,000,000",,info@ascentcapital.in
,Assurance Mezzanine Fund,https://assurancemezz.com,USA,Orlando,"Healthcare, E-Commerce, Government Technology, Travel & Hospitality, Construction","Late Stage, Growth",2017,"Alex Brown, Anthony Yanni, David Ellis, Jeffrey Phillips, Robert Whittel, Seth Ellis",31,2,"$3,000,000","$20,000,000",,dellis@assurancemezz.com
,Astanor Ventures,https://astanor.com,Belgium,Brussels,"Agriculture, Climate & Sustainability, DTC, Food & Beverage",Seed,2017,"Eric Archambeau, George Coehlo",42,1,,"$1,000,000","$325,000,000",
,Astella Investimentos,https://astellainvest.com,Brazil,São Paulo,"Cloud, Internet & Mobile, E-Commerce, Education, Marketplace, SaaS","Early Stage, Seed, Series A",2008,"Edson Rigonatti, Laura Constantini",48,10,"R$5,000,000","R$10,000,000","R$123,600,000",astella@astellainvest.com
,Astorya.vc,http://astorya.vc/,France,Paris,"Fintech, Healthcare, Cybersecurity","Early Stage, Pre-Seed, Seed, Series A",2017,"Florian Graillot, Jan Kastory",5,,"€300,000","€11,000,000",,contact@astorya.vc
,ASTUTIA Ventures,https://www.astutia.de/en/,Germany,Munich,"Life Sciences, E-Commerce, Internet & Mobile, Food & Beverage","Early Stage, Series A",2006,Benedict Rodenstock,17,10,,"€1,000,000",,astutia@astutia.de
