Accelerator / Incubator,Website,Country,City,Industries,Founders,Founded Date,Number of Investments,Number of Exits
Newark Venture Partners,http://www.newarkventurepartners.com,United States,Newark,"Developer Tools, FinTech, InsurTech, Supply Chain, HealthTech, HRtech","Daniel Borok, Don Katz, Tom Wisniewski",2015,122,11
Space3ac,http://www.space3.ac/,Poland,Gdansk,"Space, Proptech, Data Science, Transport, Logistics","Krzysztof Kanawka, Maciej Mickiewicz, Wojciech Drewczynski",2015,121,1
IOSG Ventures,http://iosg.vc,Hong Kong,Hong Kong,"Blockchain, Crypto, FinTech",Jocy Lin,2017,120,
Capital Innovators,http://capitalinnovators.com,United States,St Louis,Industry Agnostic,,2011,119,7
Google Launchpad Accelerator,https://developers.google.com/startups/accelerator/,United States,Mountain View,Technology,"Larry Page, Sergey Brin",2015,118,20
Obvious Ventures,http://www.obvious.com,United States,San Francisco,"Healthcare, Food, Consumer Goods","James Joaquin, Vishal Vasishth, Đệ Phan",2014,115,10
Blue Startups,http://www.bluestartups.com,United States,Honolulu,"Technology, Web, Software, Mobile","Chenoa Farnsworth, Henk Rogers, Maya Rogers",2012,114,4
Amino Capital,http://www.aminocapital.com,United States,Palo Alto,"Consumer, Enterprise, Information Technology, SaaS, Big Data, AI","David Wei, Jun Wu, Larry Li",2012,113,18
Techstars London Accelerator,http://www.techstars.com/programs/london-program/,United Kingdom,London,Industry Agnostic,,,113,5
Accelerator Centre,http://www.acceleratorcentre.com,Canada,Waterloo,"Healthcare, Technology",,2006,112,6
Fintech Sandbox,https://fintechsandbox.org/,United States,Boston,FinTech,"David Jegen, John Fawcett, Sarah Biller, Ty Danco",2014,112,13
entrepreneurship@UBC,http://entrepreneurship.ubc.ca,Canada,Vancouver,"Mobile, Robotics, Drones",,2013,112,5
Surge,https://www.surgeahead.com/,Singapore,Singapore,Industry Agnostic,,2019,110,1
ACE Startups,https://acestartups.com.br,Brazil,São Paulo,"Enterprise, Consumer","Mike Ajnsztajn, Pedro Waengertner",2012,109,19
Founders Factory,https://foundersfactory.com/,United Kingdom,London,"AI, Beauty, Education, Media, Retail, Travel, Impact","Brent Hoberman, George Northcott, Henry Lane Fox, Jim Meyerle",2015,109,7
XRC Labs,http://xrclabs.com/,United States,New York,"RetailTech, Consumer Goods, Healthcare",Pano Anthos,2015,108,6
Techstars Austin Accelerator,https://www.techstars.com/programs/austin-program/,United States,Austin,Industry Agnostic,,2006,108,12
Upscale,https://technation.io/programmes/upscale/,United Kingdom,London,"FinTech, AI, Ecommerce, SaaS",,2011,108,13
MOX,http://mobileonlyx.com/,Taiwan,Taipei,"Ecommerce, SaaS, FinTech, Media, Al, Blockchain, Software, Education, EdTech, Climate Tech, AgTech","Sean O'Sullivan, William Bao Bean",2015,106,5
Desafía,https://www.sanfrancisco.desafia.gob.es,United States,San Francisco,Technology,,2011,105,4
IMPACT Accelerator,http://www.impact-accelerator.com/,Spain,Madrid,"EdTech, Mobility, Impact","Lars Brøndum Petersen, Michael Kleindl, Nacho Pinedo, Sanyu Karani, Tomasz Mazuryk",2014,105,4
Tech Wildcatters,http://techwildcatters.com,United States,Dallas,"Software, Hardware, Life Sciences, Cleantech","Brad Taylor, Gabriella Draney, John Reed, Jon Feld",2009,104,11
AlphaLab,http://alphalab.org,United States,Pittsburgh,"Technology, Software, Gaming, Mobile, Consumer Internet",Jim Jen,2008,104,7
Expert Dojo,http://www.expertdojo.com,United States,Santa Monica,"AdTech, AI, B2B, Beauty, Blockchain, Creator Economy, Cyber Security, Diagnostics, Ecommerce, EdTech, Egaming, Software, Esport, FinTech, Healthcare, HealthTech, Information Technology, Insurance, Mediatech, Online Dating, Pet Tech, Proptechnology, SaaS, Travel",Brian Mac Mahon,2014,102,
CARB-X,http://www.carb-x.org/,United States,Boston,"Pharmaceutical, Biopharmaceutical",,2016,101,25
BoomStartup,http://boomstartup.com,United States,Salt Lake City,"Mobile, Internet, SaaS, Medical, EdTech","John Richards, Jon Bradshaw, Robb Kunz",2010,100,10
Union Kitchen,https://unionkitchen.com/,United States,Washington,FoodTech,Cullen Gilchrist,2012,98,
MassChallenge Switzerland,https://masschallenge.org/programs-switzerland,Switzerland,Renens,"Sustainable Food, Sustainability, Climate, HealthTech",,2016,98,1
Healthbox,http://www.healthbox.com,United States,Chicago,Healthcare,Nina Nashif,2010,97,12
CITRIS Foundry,http://citrisfoundry.org/,United States,Berkeley,"Cloud, Big Data, AI","Alic Chen, Patrick Scaglia, Peter Minor",2013,97,
InnovX BCR,https://www.innovx.eu/,Romania,Bucharest,"Technology, Education",,2019,97,1
Ann Arbor SPARK,http://www.annarborusa.org/,United States,Ann Arbor,"Life Sciences, Automotive Research, Development, Software, Alternative Energies, Cleantech, Healthcare, Mobile, Information Technology",Rick Snyder,2005,95,16
FounderFuel,http://founderfuel.com,Canada,Montréal,"Technology, AI","Alan MacIntosh, Ian Jeffrey, Jean-Sebastian Cournoyer, John Stokes",2010,95,13
Axilor Ventures,http://www.axilor.com/,India,Bangalore,"Enterprise, B2B Commerce, Consumer Tech, Agri, Healthcare, Climate, FinTech","Ganapathy Venugopal, S.D. Shibulal, Senapathy Gopalakrishnan, Srinath Batni, Tarun Khanna",2014,95,5
Expa,http://www.expa.com,United States,San Francisco,Industry Agnostic,Garrett Camp,2013,93,9
Village Capital,http://www.vilcap.com,United States,Washington,"Climate Innovation, Economic Mobility, Impact","Ross Baird, Sean Foote, Victoria Fram, Victoria Fram",2009,92,4
Idealab,http://www.idealab.com,United States,Pasadena,Technology,"Bill Gross, Marcia Goodstein, Tom Hughes",1996,91,29
REACH,https://nar-reach.com,United States,Chicago,Real Estate Technology,"Bob Goldberg, Constance Freedman, Dale Stinton",2012,91,15
Jumpstart Foundry,https://www.jsf.co,United States,Nashville,"HealthTechnology, HealthTech, Diagnostic Devices, Consumer Health","Marcus Whitney, Scott Kozicki, Townes Duncan, Vic Gatto",2010,90,5
NextAI,https://www.nextcanada.com/,Canada,Toronto,Technology,Ajay Agrawal,2016,89,
European Innovation Council,https://ec.europa.eu/research/eic/index.cfm,Belgium,Brussels,"AI, HealthTech, Life Sciences",,1957,89,2
High Alpha,https://highalpha.com/,United States,Indianapolis,Technology,"Eric Tobias, Kristian Andersen, Mike Fitzgerald, Scott Dorsey",2015,88,10
Grand Central Tech,http://www.grandcentraltech.com/,United States,New York,"HealthTech, FinTech, SaaS, Technology","Ambika Nigam, Charles Bonello, Jordan Dixon, Matthew Harrigan",2014,87,14
muru-D,https://muru-d.com/,Australia,Sydney,"AI, VR, AR, Drones, Satellite Technology, Robotics","Annie Parker, Charlotte Yarkoni, Mick Liubinskas",2014,87,4
H-FARM,http://www.h-farm.com/en/,Italy,Roncade,"B2B, Blockchain, Fashion, FinTech, Food, Beverage, IoT, Retail, SaaS, Travel","Giuseppe Miroglio, Maurizio Rossi, Riccardo Donadon",2005,87,15
KAUST Innovation Fund,https://innovation.kaust.edu.sa/,Saudi Arabia,Thuwal,"Energy, Water, Food, ICT, Healthcare",,2010,86,
Highway1,http://highway1.io/,United States,San Francisco,Hardtech,"Brady Forrest, Liam Casey",2013,86,10
WOW Aceleradora,http://wow.ac,Brazil,Porto Alegre,Industry Agnostic,"André Ghignatti, Bruno Peroni, Cassio Bobsin, Jaime Wagner",2013,86,3
Sandbox Industries,http://www.sandboxindustries.com,United States,Chicago,"Agriculture, Healthcare, Software, Food","Jonathan Pirc, Nicholas Rosa, Nick Rosa, Ryan Schoop",2003,85,20
Dream Incubator,https://www.dreamincubator.co.jp,Japan,Tokyo,"Food, Healthcare, Beauty, Consumer Goods",Koichi Hori,2000,85,20
Blueprint Health,http://www.blueprinthealth.org,United States,New York,"Health, Technology","Brad Weinberg, Mathew Farkash",2011,84,12
LearnLaunch Accelerator,https://learnlaunch.com/accelerator/,United States,Boston,"Education, Technology",Jean Hammond,2013,83,7
CAS Star,http://www.casstar.com.cn/,China,Xian,"Optoelectronic Chips, AI, Aerospace, Biotech, Information Technology, New Materials, New Energy",,2020,83,1
UTEST,http://utest.to/,Canada,Toronto,Industry Agnostic,,,83,4
Texas Venture Labs,https://www.mccombs.utexas.edu/Centers/Texas-Venture-Labs,United States,Austin,"Healthcare, Consumer, Energy, Materials, Utilities, Information Technology, Telecommunications","Randall Crowder, Rob Adams",2010,83,13
MAGIC Fund,https://magic.fund,United States,Los Angeles,"Consumer Goods, Services, FinTech, Healthcare","Matt Greenleaf, Temi Marcella Awogboro",2017,82,4
CanopyBoulder,https://www.canopyboulder.com,United States,Boulder,"AgTech, Business Services, Cbd, Data, Hardware, Marketplaces, Media, Software, Supply Chain","Mark A. Nottoli, Micah Tapman, Patrick Rea, Troy Dayton",2014,80,3
Heavybit,https://www.heavybit.com,,,Technology,"James Lindenbaum, Tom Drummond",2013,79,17
Collider,http://www.collider.io,United Kingdom,London,"Marketing, Advertising Technology, Sales Technology, AI, VR","Andy Tait, David Prais, Ellen Bark-Lindhout, Mark Adams, Rose Lewis",2012,78,2
StartupYard,http://startupyard.com/,Czech Republic,Prague,"DeepTech, Blockchain","Lukas Hudecek, Peter Ocasek, Petr Ocásek",2011,78,5
SpinLab - The HHL Accelerator,https://spinlab.co/,Germany,Leipzig,Information Technology,Eric Weber,2014,78,3
Nex Cubed,http://nex3.com/,United States,San Francisco,"HealthTech, FinTech","Bill Malloy, Kelsey Morgan, Kip Quackenbush",2016,77,2
Seedstars,https://www.seedstars.com/,Switzerland,Geneva,Industry Agnostic,"Adrien de Loes, Michael Weber, Pierre-Alain Masson",2012,77,2
The Brandery,http://brandery.org,United States,Cincinnati,"Tech, RetailTech","Bryan Radtke, Dave Knox, J.B. Kropp, Rob McDonald",2010,76,8
Peregrine Ventures,http://www.peregrinevc.com,Israel,Or Yehuda,"Healthcare, Biotech, Technology","Boaz Lifschitz, Eyal Lifschitz",2001,76,12
Almaworks,http://www.alma.works,United States,New City,Industry Agnostic,,2014,76,1
9Unicorns Accelerator Fund,https://www.9unicorns.in/,India,Mumbai,Industry Agnostic,"Anil Jain, Anuj Golecha, Apoorva Ranjan Sharma, Gaurav Jain",2020,75,
Techstars Berlin Accelerator,https://www.techstars.com/programs/berlin-program/,Germany,Berlin,Industry Agnostic,,,74,3
URBAN-X,https://urban-x.com/,United States,Brooklyn,"Transportation, Real Estate, Energy",,2016,73,3
Startmate,https://www.startmate.com,Australia,Melbourne,Industry Agnostic,Niki Scevak,2010,72,5
Extreme Venture Partners,http://www.evp.vc/,Canada,Toronto,"Internet, Mobile Applications, Cloud, AI","Imran Bashir, Ken Teslia, Ray Sharma, Sunil Sharma",2007,72,14
The Family,http://thefamily.co,France,Paris,Industry Agnostic,"Alice Zagury, Nicolas Colin, Oussama Ammar",2013,72,7
Digital Magics,https://www.digitalmagics.com/,Italy,Milan,"IoT, FinTech, InsurTech, Health, Travel, Ecommerce Marketplaces, Software, Food, Transportation, AI, Industry 4.0, Blockchain","Alberto Fioravanti, Bibop Gabriele Gresta, Enrico Gasperini, Gabriele Ronchini",2004,72,5
BioGenerator,http://www.biogenerator.org,United States,St Louis,"Healthcare, Agriculture",Tom Cohen,2003,69,5
Beyond Next Ventures,https://beyondnextventures.com,Japan,Tokyo,"Medical, Healthcare, Agriculture, Food, Electronics, AI","Tsuyoshi Ito, Tsuyoshi Ito",2014,69,1
CyLon,https://cylonlab.com/,United Kingdom,London,"Information Technology, Cyber Security","Alex van Someren, Grace Cassy, Jonathan Luff",2015,69,6
Elemental Excelerator,http://elementalexcelerator.com/,United States,Honolulu,"Energy, Mobility, Agriculture, Water","Dawn Lippert, Jill Sims",2012,68,11
Lenovo Capital and Incubator Group,http://capital.lenovo.com/,China,Beijing,"AI, Big Data, Robot, Software, Cloud, VR, AR, IoT",Chuanzhi Liu,2016,67,4
"10,000 Start-Ups",http://10000startups.com,India,Noida,Technology,Purnima Sambasivan,2013,66,
ABC Accelerator,https://abc-accelerator.com,Slovenia,Ljubljana,"Real Estate, Logistics, Insurance, Communication, IoT, Energy, Retail, Ecommerce","Bernard Grum, Dejan Roljič, Grega Potokar",2015,66,
GameFounders,http://www.gamefounders.com,Malaysia,Kuala Lumpur,Gaming,"Kadri Ugand, Lauri Antalainen, Paul Bragiel, Sven Illing",2012,64,1
Cedars-Sinai Accelerator,http://www.csaccelerator.com/,United States,Los Angeles,Healthcare,,2015,63,5
Pi Labs,http://www.pilabs.co.uk,United Kingdom,London,"Real Estate, Construction Tech","Dominic Wilson, Faisal Butt, Mary Criebardis",2015,63,7
SeedRocket,http://www.seedrocket.com/en,Spain,Barcelona,Information Technology,"Jesus Monleon, Vicente Arias",2008,63,12
TusStar,http://www.tusstar.com/,China,Beijing,"EdTech, Enterprise",,1999,62,6
RCL Accelerator,https://rivercitylabs.acs.org.au,Australia,Brisbane,Technology,,2012,62,2
METRO Xcel,http://www.metroaccelerator.com,Germany,Berlin,"Hospitality Tech, RetailTech, FoodTech",,2015,62,5
BlueChilli,https://www.bluechilli.com/,Australia,Sydney,HealthTech,Sebastien Eckersley-Maslin,2012,61,3
Forward Ventures,http://www.forwardventures.com,United States,San Diego,"Healthcare, Life Sciences, Biopharmaceutical Therapeutics",Standish M. Fleming,1993,61,20
Skyland Ventures,http://skyland.vc/,Japan,Tokyo,"Web3, Game Media, HR, Digital Media, AgTech, SaaS, Marketplace, AI, Fashion, Gaming",Yoshihiko Kinoshita,2012,60,2
GBV Capital,https://gbv.capital/,Cayman Islands,Grand Cayman,"Blockchain, Cryptocurrency",Leslie Tam,2020,60,1
L-SPARK,http://www.l-spark.com,Canada,Ottawa,"SaaS, Av, IoT, Cyber Security",Leo Lax,2014,60,6
AQC Capital,https://aqccapital.ca/,Canada,Montréal,"Enterprise, Environment Tech",,2012,60,4
Big Idea Ventures,https://bigideaventures.com,United States,New York,"FoodTech, AgTech",Andrew D. Ive,2018,59,2
The Batchery,http://www.batchery.com,United States,Berkeley,Industry Agnostic,"Aaron Hayes, Andre Carothers, David Koehn, Kal Deutsch",2015,58,
AppWorks,http://appworks.tw,Taiwan,Taipei,"AI, IoT, Blockchain","I-Chien Jan, Jamie Lin",2009,57,6
Techstars Los Angeles Accelerator,http://www.techstars.com/programs/los-angeles-program/,United States,Los Angeles,Industry Agnostic,,2016,57,
Catalyst Fund,https://bfaglobal.com/catalyst-fund/,Kenya,Nairobi,FinTech,,2016,56,1
ICONYC labs,http://iconyclabs.com/,United States,New York,"IoT, FinTech, InsurTech, Health, Travel, Ecommerce Marketplaces, Software, Food, Transportation, AI, Industry 4.0, Blockchain","Arie Abecassis, Eyal Bino",2015,56,3
Outlier Ventures,https://www.outlierventures.io,United Kingdom,London,"AI, Commerce, DAO's, Data, Analytics, Defi, Refi, Digital Fashion, Gaming, Metaverse, AR, VR, NFTs","Aron van Ammers, Jamie Burke",2014,56,
Intelak Hub,https://www.intelak.com,United Arab Emirates,Dubai,"Aviation, Technology, Education, Travel, Tourism",Jithin Manoharan,2016,55,2
Stadia Ventures,http://www.stadiaventures.com,United States,St Louis,"Fan Engagement Software, eSports, Sports Tech","Art Chou, Tim Hayden",2015,55,7
JFDI.Asia,http://jfdi.asia,Singapore,Singapore,"Enterprise, EdTech","Hugh Mason, Meng Wong",2010,55,6
