Name,Type,AUM,Typical Check Size,HQ / Location,Industry,Sectors,Stages,Portfolio Count,Founded,Employees,Website,LinkedIn,Twitter,Emails,Phones,Addresses,Description,Status,Source,Enrichment Status,Record ID
HEXAGON INVESTMENTS (REIMAN SINGLE FAMILY OFFICE),Family Office,$1B-$2B,$1M-$50M,"Denver, Colorado, United States of America","Family Office, Direct Investments, Private Equity, Real Estate, Energy",Real Estate; Energy; Private Equity; Venture Capital; Marketable Securities; Minerals; Technology; Healthcare,Seed; Series A; Series B; Series C; Growth,50,1992,11-50,http://www.hexagoninc.com/,https://www.linkedin.com/company/hexagon-investments,,cjs@hexagoninc.com,(305)571-1010,,"Hexagon Investments is the single-family office of Scott Reiman, managing the wealth of the Reiman family. The firm focuses on direct investments across marketable securities, real estate, private equity, venture capital, and energy sectors, with a strong emphasis on long-term value creation and diversification. Headquartered in Denver, Colorado, Hexagon Investments has built a reputation for strategic investments in middle-market companies and real estate assets since its founding.",,folk,enriched,09fc6ba3-3e7c-470a-8ff9-d0bb6239af43
Marron Capital,Family Office,$3B,$10M-$100M,"New York, United States of America","Real Estate, Private Equity, Venture Capital, Private Debt, Hedge Funds, Infrastructure, Natural Resources",Real Estate; Private Equity; Venture Capital; Infrastructure; Natural Resources; Technology; Healthcare; Financial Services,Growth; Series C; Series D; Bridge,50,1990,11-50,https://www.marroncapital.com,https://www.linkedin.com/company/marron-capital,,soverbay@marroncapital.com,(212)328-0540,,"Marron Capital is a multi-generational family office founded by the late Donald B. Marron, a prominent financier and former CEO of Paine Webber. The firm manages the wealth of the Marron family, focusing on a diversified investment strategy across real estate, private equity, venture capital, hedge funds, and natural resources. Marron Capital emphasizes long-term capital compounding through strategic partnerships with experienced managers and a flexible, unconstrained investment approach.",,folk,enriched,16fb8e71-2181-4320-bb14-1ac9ed2d00a1
Mousse Partners,Family Office,$15B+,$50M-$500M,"New York, United States","Family Office, Private Equity, Venture Capital, Real Estate",Consumer; Luxury Goods; Technology; Healthcare; Real Estate; Financial Services; Fintech; Retail,Seed; Series A; Series B; Series C; Series D; Growth; Post-IPO; Private Equity,50,1985,51-200,https://www.moussepartners.com,https://www.linkedin.com/company/mousse-partners/,,jabusirriyeh@moussepartners.com,(646) 471-4000; 19178824677,https://www.linkedin.com/company/moussepartners,"Mousse Partners is the private investment office of the Chanel founding Wertheimer family, managing the family's wealth through a diversified global portfolio. The firm invests across alternative asset classes, including venture capital, private equity, real estate, and public equities, with a long-term, partnership-driven approach. Mousse Partners operates with a focus on sustainability and collaborative relationships with high-quality management teams and institutional investors.",,folk,enriched,e0914e89-95b2-4e04-8a3a-1aff92fa48fb
Oliver,Family Office,$2B+,$1M-$50M,"London, United Kingdom",Family Office,Technology; E-commerce; Fintech; Marketplaces; SaaS,Seed; Series A; Series B; Series C; Growth,50,2010,11-50,https://www.olivercapital.com,https://www.linkedin.com/company/oliver-capital/,https://twitter.com/OliverCapital,info@olivercapital.com,linkedin.com/company/global-founders-capital,33 Cavendish Square,"Oliver is a single-family office representing the wealth of the Samwer family, founders of Rocket Internet and other prominent technology ventures. The office focuses on direct investments in technology, e-commerce, and fintech startups, with a strong emphasis on global opportunities and supporting entrepreneurial growth.",,folk,enriched,613c780f-c7de-4aa3-a261-0ddffbc1ce39
Q Investments,Family Office,$5B+,$50M-$500M,"Fort Worth, Texas, United States",Investment Management,Real Estate; Private Equity; Credit; Distressed Assets; Energy; Financial Services,Growth; Bridge,50,1994,51-200,https://www.qinvestments.com,https://www.linkedin.com/company/q-investments/,,telli@qinvestments.com,(817) 332-9500,,"Q Investments is a multi-billion dollar private investment firm and family office founded by billionaire investor Quinn E. Martin in 1994. Based in Fort Worth, Texas, the firm employs a flexible, opportunistic investment strategy across public and private markets, including distressed assets, private equity, real estate, and credit investments. Q Investments is known for its long-term horizon and ability to deploy capital across the entire capital structure of companies.",,folk,enriched,bf1e3c80-e73c-4ffc-98b6-735521f80093
Silver Bridge Family Office Partners,Family Office,$1.6B,$10M-$50M,"Brooklyn, United States",Wealth Management & Family Office Services,Global Equities; Fixed Income; Alternative Investments; Real Estate; Private Equity,Growth,50,1940,11-50,http://www.silverbridgeadv.com,https://www.linkedin.com/company/silver-bridge-family-office-partners,,bfisher@silverbridgeadv.com,415 795 9259,,"Silver Bridge Family Office Partners is a multi-family office based in Boston, USA, specializing in comprehensive wealth management for ultra-high-net-worth families and individuals with a minimum of $25 million in investable assets. The firm offers tailored investment solutions, focusing on capital preservation through diversified strategies in global equities, tax-exempt fixed income, and alternative investments. With roots tracing back over 80 years, Silver Bridge has grown through strategic acquisitions to manage approximately $1.6 billion in assets while maintaining a client-centric approach.",,folk,enriched,eb4a374c-b587-49a6-aea9-504db8c86f9d
Southern Equity,Family Office,$500M-$1B,$1M-$10M,"Charlotte Amalie, U.S. Virgin Islands",Multi-Sector Investment Platform,Consumer & Retail; Healthcare; Fintech; Insurance; Professional Services; Technology,Seed; Series A; Series B; Series C; Growth,50,2008,11-50,https://www.southernequity.com,https://www.linkedin.com/company/southernequity,https://twitter.com/SouthernEquity,jmulroy@acuity.co,(540) 850-8470,,"Southern Equity is a multi-family office and global investment platform founded by entrepreneur Allen Nance in 2008. Based in the U.S. Virgin Islands with operations in the Atlanta metropolitan area, the firm focuses on alternative and direct investments across consumer & retail, healthcare, financial services, insurance, and professional services. Southern Equity leverages its network of successful entrepreneurs to source proprietary deals, offering co-investment opportunities to its clients while emphasizing sustainable growth and meaningful connections.",,folk,enriched,0c12af25-d02f-4269-93b3-85de14970360
True North Advisors,Family Office,$3B,$1M-$20M,"Dallas, United States",Wealth Management & Private Investments,Financial Services; Real Estate; Technology; Healthcare; Energy; Consumer Goods,Growth; Bridge,50,1999,51-200,https://www.truenorthadvisors.com,https://www.linkedin.com/company/true-north-advisors/,https://twitter.com/TrueNorthAdv,manderson@truenorthadvisors.com,(214) 360-7301; 17085743218,"Dallas; TX; 3131 Turtle Creek Blvd, Ste 1300; United States; 75219","True North Advisors is a multi-family office and registered investment adviser (RIA) based in Dallas, Texas, specializing in comprehensive wealth management, private investment solutions, and integrated financial planning for high-net-worth individuals and families. The firm employs a value-oriented investment strategy across public and private markets, emphasizing long-term capital growth, preservation, and conflict-free advice. True North Advisors provides bespoke solutions, including business exit planning, tactical allocation strategies, and alternative investments, tailored to ensure the longevity and prosperity of client portfolios.",,folk,enriched,c91a6799-65c6-4876-96a3-9c34401fe5d5
Andrea Colombo,Family Office,$200M,$250K-$2M,"Lugano, Switzerland",Wealth Management & Investment,Fintech; SaaS; Technology; Digital Transformation,Pre-seed; Seed; Series A,30,2010,1-10,https://www.u-start.biz,https://www.linkedin.com/company/u-start/,,andrea.colombo@u-start.biz,linkedin.com/company/u-start,"Via Balestra 22, 6900 Lugano, Switzerland","Andrea Colombo is a single-family office based in Lugano, Switzerland, managing the wealth of the Colombo family. The office focuses on direct investments in early-stage technology startups, particularly in Europe, with a strong emphasis on fintech, SaaS, and digital transformation sectors.",,folk,enriched,8e02711f-0eca-46a5-bd47-70ad6da59307
Burkhard,Family Office,$1B+,$1M-$20M,"Munich, Germany",Wealth Management & Private Investments,Technology; Healthcare; Real Estate; Financial Services; Industrial,Seed; Series A; Series B; Series C; Growth,30,1990,11-50,https://www.forumgruppe.de,https://www.linkedin.com/company/forum-family-office,,info@forumgruppe.de,linkedin.com/company/forum-family-office,"Maximilianstraße 35, 80539 Munich, Germany","Burkhard Family Office, part of the Forum Group, is a multi-family office based in Munich, Germany, managing the wealth of ultra-high-net-worth families. The firm focuses on long-term capital preservation and growth through diversified investments, including private equity, venture capital, and real estate, with a strong emphasis on European markets.",,folk,enriched,12e12abe-8001-4d2f-be60-089aa445fcf4
Continental Grain Company,Family Office,$10B+,$5M-$50M,"New York, USA","Private equity opportunities in middle-market food and agriculture businesses in North America and Latin America., Agribusiness, Poultry, Animal Feed, Flour Milling, Oilseed Crushing, Seafood Production, Food Supply Chain",Food & Agriculture; AgTech; FoodTech; Supply Chain & Logistics; Sustainability,Seed; Series A; Series B; Series C; Growth,30,1813,501-1000,https://continentalgrain.com/business/,https://www.linkedin.com/company/continental-grain-company/,https://twitter.com/ContinentalGrain,paul.fribourg@conti.com,Latam; (212) 207-5764Â,,"Continental Grain Company is a privately-owned global investor with a history spanning over 200 years. Originally rooted in grain trading, it has evolved into an investment firm focused on the food and agriculture sectors. The company has diversified its operations to include poultry production, animal feed processing, and milling. With significant acquisitions and mergers, such as Wayne Farms and Sanderson Farms, it operates through various divisions and is headquartered in New York, USA.",,folk,enriched,6d950e69-7a8a-4e94-83c8-295ec8ad1476
CREA GROUP,Family Office,$1B+,$5M-$50M,"Vaduz, Liechtenstein","Wealth Management, Private Equity, Real Estate, Venture Capital",Real Estate; Private Equity; Venture Capital; Technology; Financial Services; Healthcare,Growth; Series C; Series D,30,1990,11-50,https://www.crea-group.com,https://www.linkedin.com/company/crea-group/,,michael.beck@crea-group.com,423 237 6573,,"CREA GROUP is a multi-family office based in Liechtenstein, specializing in wealth management, private equity, real estate, and venture capital investments. The firm serves ultra-high-net-worth individuals and families, offering tailored investment strategies across diverse asset classes with a focus on long-term growth and capital preservation.",,folk,enriched,87a4b583-eedf-4deb-8b78-9525900f5d26
Daniel,Family Office,$1B+,$1M-$20M,"Kusnacht, Switzerland",Wealth Management & Private Investments,Technology; Healthcare; Fintech; Real Estate; Industrials,Seed; Series A; Series B; Series C; Growth,30,1990,11-50,https://www.armada.com,https://www.linkedin.com/company/armada-investment-group-ag,,info@armada.com,linkedin.com/company/armada-investment-group-ag,"Seestrasse 18, 8700 Kusnacht, Switzerland","Daniel is a single-family office based in Kusnacht, Switzerland, managing the wealth of the Aegerter family. The firm focuses on a diversified investment strategy, including direct investments, venture capital, and private equity, with a strong emphasis on European markets and long-term value creation.",,folk,enriched,88e1ab0e-7ce1-4419-8606-dafd16f95225
FFO,Family Office,$2B+,$5M-$50M,"New York, United States of America",Wealth Management & Family Office Services,Real Estate; Private Equity; Technology; Healthcare; Financial Services,Growth; Series C; Series D; Bridge,30,2000,11-50,https://www.flynnoffice.com,https://www.linkedin.com/company/flynn-family-office-ffo-,https://twitter.com/FlynnFamilyOff,ejehle@ffollc.com,(646) 668-3449,,"Flynn Family Office (FFO) is a multi-family office based in New York, providing comprehensive wealth management, investment advisory, and family governance services to ultra-high-net-worth families. The firm specializes in direct investments, private equity, real estate, and alternative assets, with a focus on long-term capital preservation and growth.",,folk,enriched,c68c11ad-4768-48da-8ea2-a49c2e976dc5
Fredrik,Family Office,$500M-$1B,$1M-$10M,"Stockholm, Sweden",Wealth Management & Investment,Technology; Fintech; Sustainability; Real Estate; Healthcare,Seed; Series A; Series B; Growth,30,2010,11-50,https://www.backstage.se,https://www.linkedin.com/company/backstage-investments/,https://twitter.com/BackstageInv,info@backstage.se,-,"Backstage Investments, Regeringsgatan 65, 111 56 Stockholm, Sweden","Fredrik is a single-family office based in Stockholm, Sweden, managing the wealth of the Tilander family. The firm focuses on long-term investments across venture capital, real estate, and public equities, with a strong emphasis on European startups and sustainable technologies.",,folk,enriched,8f7d9a57-fcbf-44d1-938a-664ed0761c79
Gordon Grant Curtis,Family Office,$500M-$1B,$1M-$20M,"Lugano, Switzerland",Wealth Management,Real Estate; Private Equity; Technology; Healthcare; Financial Services,Growth; Series C; Series D; Bridge,30,1990,11-50,https://www.ggcfamilyoffice.com,https://www.linkedin.com/company/gordon-grant-curtis-family-office,,info@ggcfamilyoffice.com,-,"Via Nassa 6, 6900 Lugano, Switzerland","Gordon Grant Curtis is a single-family office based in Lugano, Switzerland, managing the wealth of the Curtis family. The firm focuses on preserving and growing generational wealth through diversified investments, including private equity, real estate, and alternative assets across Europe and globally.",,folk,enriched,8259e0cb-947c-4d39-b7ec-ce370402014c
Harrison LLP,Family Office,$1B-$2B,$10M-$50M,"Chicago, United States","student housing, rented residential, senior living, self-storage, life sciences",Real Estate; Healthcare; Social Infrastructure,Growth; Bridge,30,1985,11-50,https://www.harrisonllp.com,https://www.linkedin.com/company/harrison-llp,,mcharles@gfpac.com,(239) 514-1000,,"Harrison Family Office is a multi-generational family office based in Chicago, USA, managing the wealth of the Harrison family. The office specializes in social infrastructure and healthcare real estate investments, including student housing, senior living, self-storage, and life sciences properties, with a strong emphasis on ESG criteria and sustainable impact investing.",,folk,enriched,2e5adffa-10f6-4187-a7de-a5080e0bea99
JR Miller Enterprises,Family Office,$500M-$1B,$1M-$20M,"Salt Lake City, Utah, United States","Wealth Management, Real Estate, Art",Real Estate; Art & Collectibles; Private Equity; Hospitality,Growth; Bridge,30,1985,11-50,https://www.jrmiller.com,https://www.linkedin.com/company/jr-miller-enterprises,,mlambert@jrmiller.com,(801) 365-6240,,"JR Miller Enterprises is a single-family office based in Utah, managing the wealth and investments of the Miller family. The firm focuses on a diversified portfolio including real estate, art, and private equity, with a strong emphasis on long-term value creation and generational wealth preservation.",,folk,enriched,556a7455-c78f-4aa4-82e1-15a2d8c1ad86
KALBERT SINGLE FAMILY OFFICE,Family Office,$500M-$1B,$1M-$20M,"Berg, Germany","Family Office, Private Equity, Real Estate, Alternative Investments",Real Estate; Private Equity; Infrastructure; Technology; Healthcare; Financial Services,Growth; Series B; Series C; Series D,30,1998,11-50,https://www.kalbert-familyoffice.com,https://www.linkedin.com/company/kalbert-single-family-office,,klaeffling@yahoo.com,49 30 300-1460,,"KALBERT SINGLE FAMILY OFFICE is a multi-generational single-family office managing the wealth of the Klaeffling family, with roots in Germany. The office focuses on direct investments, private equity, real estate, and alternative asset classes, with a geographic emphasis on Europe and North America. It operates with a long-term investment horizon and a conservative yet opportunistic approach to wealth preservation and growth.",,folk,enriched,c6e6bab8-d036-4313-8ae2-22e0ae6995f5
Legacy Knight : Multi-Family Office,Family Office,$1B+,$5M-$50M,"Dallas, United States",Wealth Management & Family Office Services,Technology; Healthcare; Real Estate; Private Equity; Hedge Funds; Energy,Series B; Series C; Series D; Growth,30,2010,11-50,https://www.legacyknight.com,https://www.linkedin.com/company/legacy-knight-multi-family-office,,brad@legacyknight.com,(972) 788-1100,,"Legacy Knight is a Dallas-based multi-family office that provides bespoke wealth management, investment advisory, and direct investment services to ultra-high-net-worth families and family offices. The firm emphasizes a long-term, entrepreneurial approach to wealth preservation and growth, combining traditional and alternative investments while maintaining a non-transactional, trust-based relationship with clients.",,folk,enriched,3dba85d3-7d94-4a1d-b96a-e7df0922b231
Marcel Van,Family Office,$1.5B,$5M-$50M,"Brussels, Belgium",Family Office,Real Estate; Private Equity; Venture Capital; Technology; Healthcare; Financial Services,Growth; Series C; Series D; Bridge,30,1990,11-50,https://www.atlasinvest.be,https://www.linkedin.com/company/atlasinvest/,,info@atlasinvest.be,linkedin.com/company/atlasinvest,"Avenue Louise 287, 1050 Brussels, Belgium","Marcel Van is the family office of the Van Poecke family, one of Belgium's most prominent entrepreneurial families with roots in the textile and real estate industries. The office focuses on long-term wealth preservation and growth through diversified investments across private equity, real estate, and venture capital, primarily in Europe.",,folk,enriched,dd9502c4-7cb8-4f02-9d55-01dba7f55eca
Mariana,Family Office,$500M-$1B,$1M-$10M,"Munich, Germany",Wealth Management & Impact Investing,Technology; Sustainability; Impact Investing; Fintech; Healthcare; Artificial Intelligence,Seed; Series A; Series B; Series C; Growth,30,2010,11-50,https://www.aqalcapital.com,https://www.linkedin.com/company/aqal-capital,https://twitter.com/AQALCapital,info@aqalcapital.com,linkedin.com/company/aqal-capital,"Nymphenburger Str. 1, 80335 Munich, Germany","Mariana is a single-family office based in Munich, Germany, representing the wealth of the Bozesan family. The firm focuses on impact-driven investments across Europe, with a strong emphasis on technology, sustainability, and innovative startups, aligning with the family's long-term vision for positive societal and environmental change.",,folk,enriched,14ce228f-c844-4a10-bb75-886e4fab66a9
meetperry,Family Office,$100M-$500M,$50K-$500K,"New York, United States",Investment Management,Fintech; Real Estate; Technology; Healthcare; Consumer,Seed; Series A; Series B; Growth,30,2018,11-50,https://www.meetperry.com,https://www.linkedin.com/company/meetperry,https://twitter.com/meetperry,matthew@meetperry.com,(518) 580-5850,,"Meetperry is a members-only, New York-based investment club and family office alternative that curates a network of sophisticated investors. It focuses on alternative investment opportunities, including venture capital, private equity, and real estate, while fostering collaboration through shared deal flow and knowledge. The platform operates on a subscription model, emphasizing integrity, aligned values, and risk-aware investing among its selective membership.",,folk,enriched,cfb65a62-c19e-454d-9def-cd955f94ca9b
"Regis Management Company, LLC",Family Office,$3B+,$5M-$50M,"Menlo Park, United States","Wealth Management, Family Office Services, Investment Advisory",Technology; Healthcare; Financial Services; Real Estate; Private Equity,Growth; Series C; Series D,30,2000,11-50,https://www.regisllc.com,https://www.linkedin.com/company/regis-management-company-llc,,mkrensky@regisllc.com,(650) 838-1030 Ext 23,,"Regis Management Company, LLC is a multi-family office and SEC-registered investment adviser based in Menlo Park, California. Specializing in customized wealth and investment management, Regis serves ultra-high-net-worth families, foundations, and private clients with a focus on long-term capital appreciation through marketable securities, alternative investments, and private equity. The firm adopts a consultative approach, aligning investment strategies with multi-generational financial goals while providing institutional-grade asset management and advisory services.",,folk,enriched,f831ecd6-65b7-464f-8d2e-1a0806e34426
Rico,Family Office,$1B+,$1M-$20M,"Zurich, Switzerland",Family Office,Technology; Real Estate; Healthcare; Financial Services; Industrials,Series A; Series B; Series C; Growth,30,1990,11-50,https://www.bfoag.ch,https://www.linkedin.com/company/baumgartner-family-office/,,info@bfoag.ch,-,"Baumgartner Family Office, Zurich, Switzerland","Rico, also known as Baumgartner Family Office, is a Zurich-based single-family office managing the wealth of the Baumgartner family. The firm focuses on long-term capital preservation and growth through diversified investments across Europe, with a strong emphasis on private equity, real estate, and venture capital opportunities.",,folk,enriched,e2bcee7e-2649-488f-af3d-92ecec70a781
The Cynosure Group,Family Office,$5B+,$20M-$100M,"Salt Lake City, Utah, United States","Multi-Family Office, Private Equity, Private Credit, Wealth Management",Financial Services; Technology; Healthcare; Consumer; Industrials; Real Estate,Growth; Series B; Series C; Series D,30,2007,51-200,https://www.cynosuregroup.com,https://www.linkedin.com/company/the-cynosure-group/,https://twitter.com/CynosureGroup,richard.lee@cynosuregroup.com,(801) 359-2855,,"The Cynosure Group is a multi-family office and independent alternatives asset manager based in Salt Lake City, Utah, with deep roots in the Eccles family legacy. It provides long-term investment management across private growth equity, private credit, quantitative hedge funds, and integrated wealth management for ultra-high-net-worth families, foundations, and institutions. The firm emphasizes sustainability, reliability, and impact-driven investing aligned with its historical values.",,folk,enriched,bc1c4403-5a98-463c-b76a-c18220f1e360
York,Family Office,€1B+,€1M-€20M,"Frankfurt, Germany",Wealth Management & Private Investments,Technology; Real Estate; Healthcare; Financial Services; Industrials,Growth; Series C; Series D; Bridge,30,2005,11-50,https://www.york-capital.de,https://www.linkedin.com/company/york-capital-de/,,info@york-capital.de,-,"Bockenheimer Landstraße 25, 60325 Frankfurt am Main, Germany","York is a multi-family office based in Frankfurt, Germany, specializing in wealth management, direct investments, and advisory services for ultra-high-net-worth families across Europe. The firm focuses on long-term capital preservation and growth through diversified investments in private equity, real estate, and venture capital, with a particular emphasis on European markets.",,folk,enriched,5dcc9188-9b46-4cbe-a3ec-238af0326f47
Abrams Group,Family Office,$1B+,$10M-$100M,"Boston, Massachusetts, United States of America",Investment Management,Technology; Consumer; Financial Services; Healthcare; Industrials,Growth; Series C; Series D,20,1999,11-50,https://www.abramscapital.com,https://www.linkedin.com/company/abrams-capital-management,,richard.abrams@ubs.com,212-370-7601,,"Abrams Capital is a Boston-based family office founded by Richard Abrams in 1999. The firm employs a fundamental, value-oriented investment strategy, focusing on long-term, unlevered, and long-biased investments across a spectrum of asset types and market sectors. Abrams Capital is known for its opportunistic approach and disciplined investment philosophy.",,folk,enriched,e1fb3586-e79b-4eb0-8d5a-e5bd3ef638ab
